StudentID,MatriculationYear,Gender,Race,Date_Of_Birth,DiplomaID
202200001,2022,Male,Indian,2005-07-08,221
202200002,2022,Male,Chinese,2005-03-29,236
202200003,2022,Male,Chinese,2005-12-10,230
202200004,2022,Male,Chinese,2005-11-10,222
202200005,2022,Male,Chinese,2005-06-19,228
202200006,2022,Female,Chinese,2005-02-20,203
202200007,2022,Female,Chinese,2005-10-01,204
202200008,2022,Female,Chinese,2005-12-12,202
202200009,2022,Female,Chinese,2005-09-21,235
202200010,2022,Female,Chinese,2005-01-02,206
202200011,2022,Male,Chinese,2005-08-06,234
202200012,2022,Male,Indian,2005-09-28,208
202200013,2022,Female,Chinese,2004-07-31,216
202200014,2022,Female,Chinese,2005-08-05,241
202200015,2022,Male,Chinese,2005-01-09,224
202200016,2022,Male,Chinese,2005-03-22,208
202200017,2022,Female,Malay,2005-08-19,241
202200018,2022,Female,Malay,2005-02-02,223
202200019,2022,Female,Chinese,2005-08-02,227
202200020,2022,Female,Chinese,2004-05-10,201
202200021,2022,Female,Chinese,2005-10-10,209
202200022,2022,Female,Chinese,2005-06-28,232
202200023,2022,Female,Chinese,2005-08-10,237
202200024,2022,Male,Chinese,2005-02-05,213
202200025,2022,Male,Chinese,2005-03-07,206
202200026,2022,Male,Chinese,2005-11-27,228
202200027,2022,Male,Indian,2005-10-10,213
202200028,2022,Female,Chinese,2005-05-17,237
202200029,2022,Female,Chinese,2005-11-11,232
202200030,2022,Female,Chinese,2005-02-21,212
202200031,2022,Male,Chinese,2005-04-23,217
202200032,2022,Male,Others,2005-12-09,237
202200033,2022,Male,Chinese,2005-02-22,226
202200034,2022,Female,Chinese,2005-07-22,217
202200035,2022,Female,Chinese,2005-07-17,222
202200036,2022,Female,Chinese,2005-05-04,206
202200037,2022,Female,Malay,2005-12-12,203
202200038,2022,Female,Chinese,2005-05-08,239
202200039,2022,Female,Chinese,2005-05-31,231
202200040,2022,Female,Chinese,2005-12-12,202
202200041,2022,Female,Others,2005-06-09,209
202200042,2022,Male,Chinese,2005-06-01,233
202200043,2022,Female,Chinese,2005-04-14,220
202200044,2022,Female,Chinese,2004-06-01,229
202200045,2022,Male,Chinese,2005-06-12,216
202200046,2022,Female,Chinese,2005-10-04,220
202200047,2022,Male,Malay,2005-05-08,233
202200048,2022,Female,Chinese,2005-01-22,230
202200049,2022,Female,Chinese,2005-10-10,227
202200050,2022,Female,Chinese,2005-11-13,219
202200051,2022,Female,Malay,2005-06-21,228
202200052,2022,Male,Chinese,2005-08-21,237
202200053,2022,Female,Chinese,2004-04-08,233
202200054,2022,Male,Chinese,2005-06-10,203
202200055,2022,Male,Chinese,2004-02-27,203
202200056,2022,Female,Chinese,2005-12-08,223
202200057,2022,Male,Chinese,2005-09-30,240
202200058,2022,Female,Chinese,2005-06-19,226
202200059,2022,Female,Malay,2004-11-08,236
202200060,2022,Female,Chinese,2005-05-22,212
202200061,2022,Female,Chinese,2005-10-15,223
202200062,2022,Female,Chinese,2005-07-09,222
202200063,2022,Female,Chinese,2005-11-22,215
202200064,2022,Male,Chinese,2005-02-22,205
