StudentID,ModuleID,AcadYear,StudentScore,StudentGrade
202200001,G0001,AY2022S1,74,B
202200001,G0002,AY2022S1,68,C+
202200001,G0003,AY2022S1,76,B+
202200001,G0004,AY2022S1,85,A
202200002,G0001,AY2022S1,67,C+
202200002,G0002,AY2022S1,67,C+
202200002,G0003,AY2022S1,85,A
202200002,G0004,AY2022S1,77,B+
202200003,G0001,AY2022S1,65,C
202200003,G0002,AY2022S1,75,B
202200003,G0003,AY2022S1,65,C
202200003,G0004,AY2022S1,65,C
202200004,G0001,AY2022S1,72,B
202200004,G0002,AY2022S1,50,F
202200004,G0003,AY2022S1,52,D
202200004,G0004,AY2022S1,64,C
202200005,G0001,AY2022S1,59,D+
202200005,G0002,AY2022S1,73,B
202200005,G0003,AY2022S1,60,D+
202200005,G0004,AY2022S1,55,D
202200006,G0001,AY2022S1,84,A
202200006,G0002,AY2022S1,67,C+
202200006,G0003,AY2022S1,70,C+
202200006,G0004,AY2022S1,55,D
202200007,G0001,AY2022S1,64,C
202200007,G0002,AY2022S1,71,B
202200007,G0003,AY2022S1,58,D+
202200007,G0004,AY2022S1,73,B
202200008,G0001,AY2022S1,63,C
202200008,G0002,AY2022S1,67,C+
202200008,G0003,AY2022S1,63,C
202200008,G0004,AY2022S1,88,A
202200009,G0001,AY2022S1,69,C+
202200009,G0002,AY2022S1,59,D+
202200009,G0003,AY2022S1,78,B+
202200009,G0004,AY2022S1,57,D+
202200010,G0001,AY2022S1,72,B
202200010,G0002,AY2022S1,50,F
202200010,G0003,AY2022S1,56,D+
202200010,G0004,AY2022S1,71,B
202200011,G0001,AY2022S1,77,B+
202200011,G0002,AY2022S1,71,B
202200011,G0003,AY2022S1,68,C+
202200011,G0004,AY2022S1,66,C+
202200012,G0001,AY2022S1,55,D
202200012,G0002,AY2022S1,62,C
202200012,G0003,AY2022S1,65,C
202200012,G0004,AY2022S1,80,A
202200013,G0001,AY2022S1,73,B
202200013,G0002,AY2022S1,52,D
202200013,G0003,AY2022S1,73,B
202200013,G0004,AY2022S1,66,C+
202200014,G0001,AY2022S1,63,C
202200014,G0002,AY2022S1,76,B+
202200014,G0003,AY2022S1,80,A
202200014,G0004,AY2022S1,79,B+
202200015,G0001,AY2022S1,61,C
202200015,G0002,AY2022S1,66,C+
202200015,G0003,AY2022S1,73,B
202200015,G0004,AY2022S1,79,B+
202200016,G0001,AY2022S1,65,C
202200016,G0002,AY2022S1,68,C+
202200016,G0003,AY2022S1,58,D+
202200016,G0004,AY2022S1,58,D+
202200017,G0001,AY2022S1,78,B+
202200017,G0002,AY2022S1,83,A
202200017,G0003,AY2022S1,69,C+
202200017,G0004,AY2022S1,80,A
202200018,G0001,AY2022S1,73,B
202200018,G0002,AY2022S1,63,C
202200018,G0003,AY2022S1,73,B
202200018,G0004,AY2022S1,85,A
202200019,G0001,AY2022S1,69,C+
202200019,G0002,AY2022S1,85,A
202200019,G0003,AY2022S1,43,F
202200019,G0004,AY2022S1,78,B+
202200020,G0001,AY2022S1,70,C+
202200020,G0002,AY2022S1,67,C+
202200020,G0003,AY2022S1,70,C+
202200020,G0004,AY2022S1,50,F
202200021,G0001,AY2022S1,67,C+
202200021,G0002,AY2022S1,73,B
202200021,G0003,AY2022S1,84,A
202200021,G0004,AY2022S1,64,C
202200022,G0001,AY2022S1,61,C
202200022,G0002,AY2022S1,64,C
202200022,G0003,AY2022S1,79,B+
202200022,G0004,AY2022S1,73,B
202200023,G0001,AY2022S1,64,C
202200023,G0002,AY2022S1,75,B
202200023,G0003,AY2022S1,70,C+
202200023,G0004,AY2022S1,79,B+
202200024,G0001,AY2022S1,62,C
202200024,G0002,AY2022S1,66,C+
202200024,G0003,AY2022S1,66,C+
202200024,G0004,AY2022S1,55,D
202200025,G0001,AY2022S1,72,B
202200025,G0002,AY2022S1,72,B
202200025,G0003,AY2022S1,70,C+
202200025,G0004,AY2022S1,67,C+
202200026,G0001,AY2022S1,55,D
202200026,G0002,AY2022S1,65,C
202200026,G0003,AY2022S1,66,C+
202200026,G0004,AY2022S1,61,C
202200027,G0001,AY2022S1,68,C+
202200027,G0002,AY2022S1,74,B
202200027,G0003,AY2022S1,88,A
202200027,G0004,AY2022S1,71,B
202200028,G0001,AY2022S1,72,B
202200028,G0002,AY2022S1,69,C+
202200028,G0003,AY2022S1,50,F
202200028,G0004,AY2022S1,69,C+
202200029,G0001,AY2022S1,70,C+
202200029,G0002,AY2022S1,94,A
202200029,G0003,AY2022S1,68,C+
202200029,G0004,AY2022S1,73,B
202200030,G0001,AY2022S1,69,C+
202200030,G0002,AY2022S1,58,D+
202200030,G0003,AY2022S1,81,A
202200030,G0004,AY2022S1,77,B+
202200031,G0001,AY2022S1,77,B+
202200031,G0002,AY2022S1,60,D+
202200031,G0003,AY2022S1,84,A
202200031,G0004,AY2022S1,55,D
202200032,G0001,AY2022S1,75,B
202200032,G0002,AY2022S1,91,A
202200032,G0003,AY2022S1,60,D+
202200032,G0004,AY2022S1,64,C
202200033,G0001,AY2022S1,70,C+
202200033,G0002,AY2022S1,64,C
202200033,G0003,AY2022S1,54,D
202200033,G0004,AY2022S1,70,C+
202200034,G0001,AY2022S1,59,D+
202200034,G0002,AY2022S1,74,B
202200034,G0003,AY2022S1,60,D+
202200034,G0004,AY2022S1,85,A
202200035,G0001,AY2022S1,62,C
202200035,G0002,AY2022S1,66,C+
202200035,G0003,AY2022S1,78,B+
202200035,G0004,AY2022S1,57,D+
202200036,G0001,AY2022S1,72,B
202200036,G0002,AY2022S1,83,A
202200036,G0003,AY2022S1,53,D
202200036,G0004,AY2022S1,71,B
202200037,G0001,AY2022S1,72,B
202200037,G0002,AY2022S1,77,B+
202200037,G0003,AY2022S1,57,D+
202200037,G0004,AY2022S1,56,D+
202200038,G0001,AY2022S1,75,B
202200038,G0002,AY2022S1,72,B
202200038,G0003,AY2022S1,72,B
202200038,G0004,AY2022S1,73,B
202200039,G0001,AY2022S1,63,C
202200039,G0002,AY2022S1,72,B
202200039,G0003,AY2022S1,72,B
202200039,G0004,AY2022S1,62,C
202200040,G0001,AY2022S1,88,A
202200040,G0002,AY2022S1,74,B
202200040,G0003,AY2022S1,58,D+
202200040,G0004,AY2022S1,76,B+
202200041,G0001,AY2022S1,60,D+
202200041,G0002,AY2022S1,77,B+
202200041,G0003,AY2022S1,81,A
202200041,G0004,AY2022S1,61,C
202200042,G0001,AY2022S1,79,B+
202200042,G0002,AY2022S1,74,B
202200042,G0003,AY2022S1,78,B+
202200042,G0004,AY2022S1,88,A
202200043,G0001,AY2022S1,67,C+
202200043,G0002,AY2022S1,62,C
202200043,G0003,AY2022S1,61,C
202200043,G0004,AY2022S1,61,C
202200044,G0001,AY2022S1,69,C+
202200044,G0002,AY2022S1,73,B
202200044,G0003,AY2022S1,72,B
202200044,G0004,AY2022S1,78,B+
202200045,G0001,AY2022S1,70,C+
202200045,G0002,AY2022S1,84,A
202200045,G0003,AY2022S1,67,C+
202200045,G0004,AY2022S1,97,A
202200046,G0001,AY2022S1,76,B+
202200046,G0002,AY2022S1,61,C
202200046,G0003,AY2022S1,59,D+
202200046,G0004,AY2022S1,74,B
202200047,G0001,AY2022S1,67,C+
202200047,G0002,AY2022S1,77,B+
202200047,G0003,AY2022S1,74,B
202200047,G0004,AY2022S1,69,C+
202200048,G0001,AY2022S1,61,C
202200048,G0002,AY2022S1,54,D
202200048,G0003,AY2022S1,65,C
202200048,G0004,AY2022S1,78,B+
202200049,G0001,AY2022S1,72,B
202200049,G0002,AY2022S1,57,D+
202200049,G0003,AY2022S1,71,B
202200049,G0004,AY2022S1,73,B
202200050,G0001,AY2022S1,61,C
202200050,G0002,AY2022S1,71,B
202200050,G0003,AY2022S1,70,C+
202200050,G0004,AY2022S1,58,D+
202200051,G0001,AY2022S1,73,B
202200051,G0002,AY2022S1,75,B
202200051,G0003,AY2022S1,80,A
202200051,G0004,AY2022S1,80,A
202200052,G0001,AY2022S1,56,D+
202200052,G0002,AY2022S1,60,D+
202200052,G0003,AY2022S1,75,B
202200052,G0004,AY2022S1,75,B
202200053,G0001,AY2022S1,75,B
202200053,G0002,AY2022S1,100,A
202200053,G0003,AY2022S1,75,B
202200053,G0004,AY2022S1,81,A
202200054,G0001,AY2022S1,79,B+
202200054,G0002,AY2022S1,76,B+
202200054,G0003,AY2022S1,66,C+
202200054,G0004,AY2022S1,77,B+
202200055,G0001,AY2022S1,62,C
202200055,G0002,AY2022S1,67,C+
202200055,G0003,AY2022S1,65,C
202200055,G0004,AY2022S1,70,C+
202200056,G0001,AY2022S1,93,A
202200056,G0002,AY2022S1,51,D
202200056,G0003,AY2022S1,76,B+
202200056,G0004,AY2022S1,53,D
202200057,G0001,AY2022S1,65,C
202200057,G0002,AY2022S1,80,A
202200057,G0003,AY2022S1,70,C+
202200057,G0004,AY2022S1,59,D+
202200058,G0001,AY2022S1,62,C
202200058,G0002,AY2022S1,76,B+
202200058,G0003,AY2022S1,62,C
202200058,G0004,AY2022S1,72,B
202200059,G0001,AY2022S1,70,C+
202200059,G0002,AY2022S1,63,C
202200059,G0003,AY2022S1,91,A
202200059,G0004,AY2022S1,76,B+
202200060,G0001,AY2022S1,49,F
202200060,G0002,AY2022S1,71,B
202200060,G0003,AY2022S1,63,C
202200060,G0004,AY2022S1,78,B+
202200061,G0001,AY2022S1,62,C
202200061,G0002,AY2022S1,68,C+
202200061,G0003,AY2022S1,75,B
202200061,G0004,AY2022S1,78,B+
202200062,G0001,AY2022S1,57,D+
202200062,G0002,AY2022S1,66,C+
202200062,G0003,AY2022S1,65,C
202200062,G0004,AY2022S1,63,C
202200063,G0001,AY2022S1,87,A
202200063,G0002,AY2022S1,74,B
202200063,G0003,AY2022S1,57,D+
202200063,G0004,AY2022S1,79,B+
202200064,G0001,AY2022S1,91,A
202200064,G0002,AY2022S1,80,A
202200064,G0003,AY2022S1,54,D
202200064,G0004,AY2022S1,65,C
202200065,G0001,AY2022S1,82,A
202200065,G0002,AY2022S1,62,C
202200065,G0003,AY2022S1,74,B
202200065,G0004,AY2022S1,77,B+
202200066,G0001,AY2022S1,60,D+
202200066,G0002,AY2022S1,69,C+
202200066,G0003,AY2022S1,37,F
202200066,G0004,AY2022S1,59,D+
202200067,G0001,AY2022S1,67,C+
202200067,G0002,AY2022S1,57,D+
202200067,G0003,AY2022S1,86,A
202200067,G0004,AY2022S1,55,D
202200068,G0001,AY2022S1,65,C
202200068,G0002,AY2022S1,71,B
202200068,G0003,AY2022S1,84,A
202200068,G0004,AY2022S1,55,D
202200069,G0001,AY2022S1,81,A
202200069,G0002,AY2022S1,70,C+
202200069,G0003,AY2022S1,60,D+
202200069,G0004,AY2022S1,74,B
202200070,G0001,AY2022S1,71,B
202200070,G0002,AY2022S1,63,C
202200070,G0003,AY2022S1,70,C+
202200070,G0004,AY2022S1,66,C+
202200071,G0001,AY2022S1,71,B
202200071,G0002,AY2022S1,76,B+
202200071,G0003,AY2022S1,85,A
202200071,G0004,AY2022S1,57,D+
202200072,G0001,AY2022S1,91,A
202200072,G0002,AY2022S1,50,F
202200072,G0003,AY2022S1,68,C+
202200072,G0004,AY2022S1,75,B
202200073,G0001,AY2022S1,72,B
202200073,G0002,AY2022S1,63,C
202200073,G0003,AY2022S1,67,C+
202200073,G0004,AY2022S1,65,C
202200074,G0001,AY2022S1,64,C
202200074,G0002,AY2022S1,78,B+
202200074,G0003,AY2022S1,73,B
202200074,G0004,AY2022S1,63,C
202200075,G0001,AY2022S1,78,B+
202200075,G0002,AY2022S1,73,B
202200075,G0003,AY2022S1,78,B+
202200075,G0004,AY2022S1,76,B+
202200076,G0001,AY2022S1,61,C
202200076,G0002,AY2022S1,64,C
202200076,G0003,AY2022S1,77,B+
202200076,G0004,AY2022S1,76,B+
202200077,G0001,AY2022S1,69,C+
202200077,G0002,AY2022S1,71,B
202200077,G0003,AY2022S1,82,A
202200077,G0004,AY2022S1,64,C
202200078,G0001,AY2022S1,75,B
202200078,G0002,AY2022S1,67,C+
202200078,G0003,AY2022S1,67,C+
202200078,G0004,AY2022S1,80,A
202200079,G0001,AY2022S1,78,B+
202200079,G0002,AY2022S1,78,B+
202200079,G0003,AY2022S1,83,A
202200079,G0004,AY2022S1,70,C+
202200080,G0001,AY2022S1,76,B+
202200080,G0002,AY2022S1,66,C+
202200080,G0003,AY2022S1,73,B
202200080,G0004,AY2022S1,68,C+
202200081,G0001,AY2022S1,70,C+
202200081,G0002,AY2022S1,75,B
202200081,G0003,AY2022S1,61,C
202200081,G0004,AY2022S1,90,A
202200082,G0001,AY2022S1,59,D+
202200082,G0002,AY2022S1,57,D+
202200082,G0003,AY2022S1,81,A
202200082,G0004,AY2022S1,77,B+
202200083,G0001,AY2022S1,76,B+
202200083,G0002,AY2022S1,76,B+
202200083,G0003,AY2022S1,69,C+
202200083,G0004,AY2022S1,61,C
202200084,G0001,AY2022S1,70,C+
202200084,G0002,AY2022S1,63,C
202200084,G0003,AY2022S1,79,B+
202200084,G0004,AY2022S1,68,C+
202200085,G0001,AY2022S1,61,C
